Week,Timestep,MU,RBM,RSDU,Total extended time,Rescheduling,Original _ extended,Ori-timestep
48,-0.734682382,0.815972222,1.174468085,0.165830102,-1.005353018,TRUE,16,15
48,-0.44860994,0.796052632,1.140495868,0.167206511,-0.649880933,TRUE,23,20
48,0.867323295,0.788461538,1.154471545,0.162330397,-0.446754027,TRUE,27,43
48,1.496682669,0.78125,1.168,0.159733111,-0.243627121,TRUE,31,54
48,2.126042042,0.809375,1.127413127,0.118543927,0.213408417,TRUE,40,65
49,-0.105323009,0.731060606,1.18134715,0.158179663,-1.310043377,FALSE,10,26
49,0.066320456,0.765151515,1.128712871,0.113753716,-0.853007839,FALSE,19,29
49,0.352392899,0.78030303,1.106796117,0.097087379,-0.649880933,FALSE,23,34
49,0.466821876,0.793478261,1.132420091,0.107927537,0.010281512,FALSE,36,36
49,0.69567983,0.808219178,1.118644068,0.079498572,0.873570862,FALSE,53,40
49,1.668326134,0.806666667,1.123966942,0.09002829,1.178261221,FALSE,59,57
50,-0.906325848,0.815789474,1.112903226,0.140609643,-1.157698198,FALSE,13,12
50,-0.276966475,0.826923077,1.069767442,0.089062987,-0.649880933,FALSE,23,23
50,0.69567983,0.81875,1.053435115,0.072149857,-0.446754027,FALSE,27,40
50,0.867323295,0.840361446,1.075268817,0.051526544,0.416535323,FALSE,44,43
50,1.611111646,0.820224719,1.123287671,0.087356742,1.076697768,FALSE,57,56
50,1.668326134,0.848314607,1.086092715,0.059725162,1.584515033,FALSE,67,57
50,2.58375795,0.846153846,1.090909091,0.072696345,1.889205391,FALSE,73,73
51,-1.077969313,0.75255102,1.233898305,0.18833145,-1.157698198,FALSE,13,9
51,-1.020754825,0.76010101,1.209302326,0.169619685,-0.853007839,FALSE,19,10
51,0.924537784,0.75,1.177993528,0.142737648,-0.446754027,FALSE,27,44
51,1.553897157,0.762019231,1.223974763,0.181509126,-0.040500215,FALSE,35,55
51,2.240471019,0.775462963,1.205970149,0.162369036,0.873570862,FALSE,53,67
51,2.755401415,0.769911504,1.218390805,0.16971061,1.533733306,FALSE,66,76
51,2.984259369,0.784722222,1.191740413,0.160163681,1.076697768,TRUE,57,80
52,0.924537784,0.798780488,1.145038168,0.139648069,-1.360825104,FALSE,9,44
52,1.096181249,0.841463415,1.086956522,0.091660222,-0.649880933,FALSE,23,47
52,2.18325653,0.829411765,1.063829787,0.068025979,-0.345190574,FALSE,29,66
52,2.58375795,0.846590909,1.060402685,0.045847654,0.46731705,FALSE,45,73
53,-0.906325848,0.791666667,1.085020243,0.080836595,-1.005353018,FALSE,16,12
53,0.066320456,0.806962025,1.129411765,0.109710511,-0.599099206,FALSE,24,29
53,0.352392899,0.838607595,1.086792453,0.064483047,-0.091281941,FALSE,34,34
53,0.981752272,0.824404762,1.111913357,0.080292791,0.518098776,FALSE,46,45
53,1.611111646,0.855421687,1.056338028,0.057499759,0.873570862,TRUE,53,56
54,-0.391395452,0.82,1.12195122,0.133095167,-1.513170283,FALSE,6,21
